,title,date,author,level,length,icon
122,Reactive Streams Using Spring WebFlux 6,Jul 20 2023,by Bogdan Sucaciu,Advanced,1h 48m,https://pluralsight.imgix.net/course-images/spring-webflux-6-reactive-streams-v1.jpg?w=120
123,Observability with OpenTelemetry and Grafana,Jul 19 2023,by Glenn Versweyveld,Intermediate,1h 24m,https://pluralsight.imgix.net/course-images/opentelemetry-grafana-observability-v1.jpg?w=120
124,SQL Server Security Fundamentals,Jul 19 2023,by Pinal Dave,Beginner,1h 29m,https://pluralsight.imgix.net/course-images/sql-server-security-fundamentals-v1.png?w=120
125,Convert Categorical Variables into Quantitative Variables,Jul 18 2023,"by Jason Browning, Ph.D.",Intermediate,18m,https://pluralsight.imgix.net/course-images/convert-categorical-variables-quantitative-variables-v1.jpg?w=120
126,Malware Analysis: Initial File Triage,Jul 17 2023,by Josh Stroschein,Intermediate,1h 35m,https://pluralsight.imgix.net/course-images/initial-file-triage-malware-analysis-v1.jpg?w=120
127,Secure Coding with OWASP in Django 4,Jul 15 2023,by Sangeeta Singh,Advanced,3h 7m,https://pluralsight.imgix.net/course-images/django-4-owasp-secure-coding-v1.jpg?w=120
128,Product Management: Strategy and Vision,Jul 14 2023,by Jeremy Jarrell,Beginner,48m,https://pluralsight.imgix.net/course-images/product-management-strategy-vision-v1.png?w=120
129,TensorFlow Developer Certificate - TensorFlow Developer Skills,Jul 13 2023,by Dhiraj Kumar,Beginner,1h 28m,https://pluralsight.imgix.net/course-images/tensorflow-developer-certificate-skills-v1.jpg?w=120
130,Introduction to Data Analytics on Google Cloud,Jul 13 2023,by Google Cloud,Beginner,53m,https://pluralsight.imgix.net/course-images/introduction-data-analytics-google-cloud-v1.png?w=120
131,Microservices Architectural Design Patterns Playbook,Jul 13 2023,by Rag Dhiman,Intermediate,13h 23m,https://pluralsight.imgix.net/course-images/microservices-playbook-architectural-design-patterns-v1.png?w=120
132,AI and Office,Jul 12 2023,by ClipTraining,Intermediate,58m,https://pluralsight.imgix.net/course-images/audience/generic.jpg?w=120
133,Angular Routing and Navigation Playbook,Jul 12 2023,by Lara Newsom,Intermediate,2h 43m,https://pluralsight.imgix.net/course-images/angular-routing-navigation-playbook-v1.jpg?w=120
134,Angular Routing and Navigation Playbook,Jul 12 2023,by Lara Newsom,Intermediate,2h 43m,https://pluralsight.imgix.net/course-images/angular-routing-navigation-playbook-v1.jpg?w=120
135,Achieving Advanced Insights with BigQuery,Jul 12 2023,by Google Cloud,Beginner,1h 40m,https://pluralsight.imgix.net/course-images/achieving-advanced-insights-bigquery-5-v1.png?w=120
136,Security Hot Takes: ChatGPT,Jul 12 2023,by Aaron Rosenmund,Beginner,14m,https://pluralsight.imgix.net/course-images/audience/generic.jpg?w=120
137,Achieving Advanced Insights with BigQuery,Jul 12 2023,by Google Cloud,Beginner,1h 40m,https://pluralsight.imgix.net/course-images/achieving-advanced-insights-bigquery-5-v1.png?w=120
138,Angular Routing and Navigation Playbook,Jul 12 2023,by Lara Newsom,Intermediate,2h 43m,https://pluralsight.imgix.net/course-images/angular-routing-navigation-playbook-v1.jpg?w=120
139,Angular Routing and Navigation Playbook,Jul 12 2023,by Lara Newsom,Intermediate,2h 43m,https://pluralsight.imgix.net/course-images/angular-routing-navigation-playbook-v1.jpg?w=120
140,Interaction Design Fundamentals,Jul 12 2023,by Pluralsight,Beginner,1h 30m,https://pluralsight.imgix.net/course-images/fundamentals-interaction-design-v1.jpg?w=120
141,Interaction Design Fundamentals,Jul 12 2023,by Anthony Alampi,Beginner,1h 30m,https://pluralsight.imgix.net/course-images/fundamentals-interaction-design-v1.jpg?w=120
142,Vue 3 Animations,Jul 12 2023,by Ed Freitas,Intermediate,1h 13m,https://pluralsight.imgix.net/course-images/vue-3-animations-v1.jpg?w=120
143,Vue 3 Animations,Jul 12 2023,by Ed Freitas,Intermediate,1h 13m,https://pluralsight.imgix.net/course-images/vue-3-animations-v1.jpg?w=120
144,Interaction Design Fundamentals,Jul 12 2023,by Anthony Alampi,Beginner,1h 30m,https://pluralsight.imgix.net/course-images/fundamentals-interaction-design-v1.jpg?w=120
145,Angular Routing and Navigation Playbook,Jul 12 2023,by Pluralsight,Intermediate,2h 43m,https://pluralsight.imgix.net/course-images/angular-routing-navigation-playbook-v1.jpg?w=120
146,Angular Routing and Navigation Playbook,Jul 12 2023,by Lara Newsom,Intermediate,2h 43m,https://pluralsight.imgix.net/course-images/angular-routing-navigation-playbook-v1.jpg?w=120
147,Angular Routing and Navigation Playbook,Jul 12 2023,by Lara Newsom,Intermediate,2h 43m,https://pluralsight.imgix.net/course-images/angular-routing-navigation-playbook-v1.jpg?w=120
148,Interaction Design Fundamentals,Jul 12 2023,by Anthony Alampi,Beginner,1h 30m,https://pluralsight.imgix.net/course-images/fundamentals-interaction-design-v1.jpg?w=120
149,Vue 3 Animations,Jul 12 2023,by Pluralsight,Intermediate,1h 13m,https://pluralsight.imgix.net/course-images/vue-3-animations-v1.jpg?w=120
150,Introduction to SQL Server,Jul 12 2023,by Ben Weissman,Beginner,1h 1m,https://pluralsight.imgix.net/course-images/introduction-sql-server-v1.jpg?w=120
