nro,title,title_url,title_badge,date,author,level,length,icon
86,Exploring Generative AI Models and Architecture,https://www.pluralsight.com/courses/exploring-generative-ai-model-architecture,Skills - Expanded,Aug 3 2023,by Naveed Tauhid,Intermediate,48m,https://pluralsight.imgix.net/course-images/exploring-generative-ai-model-architecture-v1.jpg?w=120
87,Security Risks and Privacy Concerns Using Generative AI,https://www.pluralsight.com/courses/gen-ai-sec-risks-privacy-concerns,Skills - Expanded,Aug 2 2023,by Shaila Rana,Intermediate,24m,https://pluralsight.imgix.net/course-images/gen-ai-sec-risks-privacy-concerns-v1.jpg?w=120
88,Apple Device Support: App Management,https://www.pluralsight.com/courses/apple-device-support-app-management-cert,Skills - Expanded,Jul 29 2023,by Rachel Gillett,Intermediate,1h 25m,https://pluralsight.imgix.net/course-images/apple-device-support-app-management-cert-v1.jpg?w=120
89,Networking in Google Cloud: Hybrid Connectivity and Network Management,https://www.pluralsight.com/courses/networking-google-cloud-hybrid-connectivity-network-management-10,Skills - Expanded,Jul 28 2023,by Google Cloud,Beginner,1h 56m,https://pluralsight.imgix.net/course-images/networking-google-cloud-hybrid-connectivity-network-management-10-v1.png?w=120
90,"Windows Endpoint Administration: Manage, Maintain, and Protect Devices",https://www.pluralsight.com/courses/windows-endpoint-administration-manage-maintain-protect-devices-cert,Skills - Expanded,Jul 28 2023,by Glenn Weadock,Intermediate,3h 52m,https://pluralsight.imgix.net/course-images/windows-endpoint-administration-manage-maintain-protect-devices-cert-v1.jpg?w=120
91,Google Drive,https://www.pluralsight.com/courses/google-drive-2,Skills - Expanded,Jul 28 2023,by Google Cloud,Beginner,43m,https://pluralsight.imgix.net/course-images/google-drive-2-v1.png?w=120
92,Designing and Implementing Active Directory and Entra ID,https://www.pluralsight.com/courses/azure-active-directory-designing-implementing,Skills - Expanded,Jul 28 2023,by Neil Morrissey,Intermediate,4h 28m,https://pluralsight.imgix.net/course-images/azure-active-directory-designing-implementing-v1.jpg?w=120
93,Google Sheets - Advanced Topics,https://www.pluralsight.com/courses/google-sheets-advanced-topics,Skills - Expanded,Jul 28 2023,by Google Cloud,Beginner,49m,https://pluralsight.imgix.net/course-images/google-sheets-advanced-topics-v1.png?w=120
94,Usage Monitoring and Auditing as a Power BI Admin,https://www.pluralsight.com/courses/power-bi-admin-usage-monitoring-auditing,Skills - Expanded,Jul 28 2023,by Ben Howard,Intermediate,49m,https://pluralsight.imgix.net/course-images/power-bi-admin-usage-monitoring-auditing-v1.jpg?w=120
95,vSphere 8: Managing vSphere Resources,https://www.pluralsight.com/courses/vsphere-8-managing-resources,Skills - Expanded,Jul 28 2023,by David Davis,Intermediate,2h 25m,https://pluralsight.imgix.net/course-images/vsphere-8-managing-resources-v1.jpg?w=120
96,MOVEit Vulnerability: What You Should Know,https://www.pluralsight.com/courses/moveit-vul-wysk,Skills - Expanded,Jul 28 2023,by Brandon DeVault,Beginner,17m,https://pluralsight.imgix.net/course-images/moveit-vul-wysk-v1.png?w=120
97,What's New In RHEL 9,https://www.pluralsight.com/courses/rhel-9-whats-new-cert,Skills - Expanded,Jul 28 2023,by Andrew Mallett,Beginner,1h 48m,https://pluralsight.imgix.net/course-images/rhel-9-whats-new-cert-v1.jpg?w=120
98,Automating Service Provider Networks with Model-driven Programmability,https://www.pluralsight.com/courses/service-provider-networks-model-driven-programmability-automating-cert,Skills - Expanded,Jul 28 2023,by Nick Russo,Advanced,1h 57m,https://pluralsight.imgix.net/course-images/service-provider-networks-model-driven-programmability-automating-cert-v2.png?w=120
99,Information and Cyber Security GRC: Compliance with External Factors,https://www.pluralsight.com/courses/compliance-external-factors-security-grc,Skills - Expanded,Jul 28 2023,by Dr. Lyron H. Andrews,Beginner,1h 19m,https://pluralsight.imgix.net/course-images/compliance-external-factors-security-grc-v1.jpg?w=120
100,Implementing and Managing OWASP ZAP for DevSecOps,https://www.pluralsight.com/courses/owasp-zap-devsecops-implementing-managing,Skills - Expanded,Jul 28 2023,by Mike Woolard,Intermediate,1h 18m,https://pluralsight.imgix.net/course-images/owasp-zap-devsecops-implementing-managing-v1.jpg?w=120
101,Google Sheets,https://www.pluralsight.com/courses/google-sheets-2,Skills - Expanded,Jul 28 2023,by Google Cloud,Beginner,50m,https://pluralsight.imgix.net/course-images/google-sheets-2-v1.png?w=120
102,Building an HTTP Application with Ktor,https://www.pluralsight.com/courses/building-http-application-ktor,Skills - Expanded,Jul 27 2023,by Kevin Jones,Intermediate,3h 39m,https://pluralsight.imgix.net/course-images/building-http-application-ktor-v1.jpg?w=120
103,Creating Graphics with Canvas and SVG,https://www.pluralsight.com/courses/canvas-svg-creating-graphics,Skills - Expanded,Jul 27 2023,by Mike Van Sickle,Intermediate,1h 47m,https://pluralsight.imgix.net/course-images/canvas-svg-creating-graphics-v1.jpg?w=120
