source,target,edge
9  it,front  hotel,was
30  we,months  arrival,After
still  things,still  hotel,was
front  he,us,was
he,sadly  long,seemed
you,main post view,was great
we,stay,be happier
rooms,price,were amazing
hot  water,chilly  nights,came with
group,15  minutes,was
city area,good  sleep,is
nearby  earplugs,establishment,had
included  breakfast,beautiful rooftop city,served on
we,sign,was slow
staff,incredibly laundry services,was
certainly budget that,more  price,recommend
we,everything,was
beds,even memory foam pillows,were
even  us,fresh  eggs,made
you,what,safe
You,anything,have
view,great  photos,got
hotel,nice  rooms,is
However  it,back hill walking,is
we,anything,located in
certain reception it,certain reception area,was okay
MUCH  staff,perfect  English,were
it,yet Hotel Balconcillo,is
fantastic  we,different  rooms,stayed
beds,fluffy quality bathrooms,were
free airport transfer,Cusco,appreciated
best  rooms,best  ambiance,are
Best  10/10,Best  Cusco,recommend
you,difficult  time,Thank
I,wonderful  staff,remember
us,family,extended
360 Sky Bar,best  Cusco,is amazing
Food,Peruvian  everyone,is delicious
bar,excellent  drinks,has excellent
you,traditional  ones,suggest
room,ample channel all,is comfortable
best  I,Peru,had at
Wanchaq Train which,rainy Machu season,walking
I,pleasantly  hotel,was
I,10  problem,checked
room,hardwood  floors,was huge
where  you,Netflix,had new
Breakfast,wide top/12th offerings,was on
earlier Polo Suites,very Wanchaq Train Station,is
uphill  which,most,is
we,great  hotel,travelling with
location,main  square,was
restaurant,great  city,was excellent
when  tub,Cusco,thank
Maritza,two Sacred Valley,was
She,many  questions,gave
who,restaurant,was
We,definitely  others,recommend
hotel staff,good  English,are
over Machu it,over Machu Picchu,was
restaurant,top  floor,was excellent
I,experience,made
we,time,got
restaurant,beautiful  city,was
This,restaurant,is
We,here  7,got
I,english,am
where  food,english,Walked
by  it,train,is like
you,early  tours,makes
towels,bed wholes,old
when flops I,shower,see
new hand they,them,took
friend,flight,was confortable
I,one Aguas night,let
I,2  them,had
it,guests,said
downstairs  I,better grandparents Cusco,away
service,restaurant,were comfortable
Receptionist,on  morning,was
However  hotel,little  way,is
she,underwear,was average
room,air air,had
smallest  that,smallest  window,had
they,it,came
someone,hour,working
one,it,asked
only  she,rooms,was
she,booking,on
she,mistake,felt
double  which,great  city,stayed in
bath,great  pressure,was
We,day hair reception,realised
also  us,taxi airport,helped
actually  bedding,bed,had
too  we,4,were
weird red what,blood,stains-
you,hotel,think
this,matter  quality,think
views,upper  restaurant,was good
it,good  money,think
we,booking,were lucky
$ com we,240  night,paid
discounted  we,really  us,let
where  We,really  hotel,recommend
It,whole  Peru,'s
we,Agua Cusco,supposed
that,very  us,charged
overboard  we,overboard  that,going
restroom,second  floor,are huge
They,coca time,have
they,scratch,take
location,taxi,located
definitely  that,Cusco,recommend
Thanks  family,Cuzco,enjoy
again  I,Cuzco,like
now Waman I,highly  it,stayed
you,way,are
even dining we,dining breakfast,talk about
service,recent  stay,was excellent
rooms,comfortable  beds,are spacious
when Direct you,altitude,have
they,second level room,rooms
basic  breakfast,nice  coffee,served
hotel,historic  sites,located
here  you,great  money,stayed
when king size we,2  persons,are huge
multiple  you,specific  wishes,has multiple
we,again  it,stayed
one  which,that,says
Staff,extra  guests,is
same price difference,cheapest  option,be
hotel,very  rooms,is
here  room,large  group,had
heaters,closet,worked
furnishings,room,was different
that,phone outlet doors,was
other  that,safe  outlets,went to
lady,completely  experience,changed
quickly  that,quickly  room,was
It,safe  clothes,was larger
much  we,stay,needed for
new  we,new  room,helped
Qorikancha,feet  window,was
where  you,gorgeous Santo Domingo,is
just  which,right menu location,are
shopping  stores,just  minute,walking
We,5  minutes,get to
5  we,ready Inka return,stored
when shower it,too  deal,remedied
rooms,price,were clean
almost  details,almost  everything,has
it,this,arrive at
I,inconvenience,survive with
ou'll,nice  shower,be
inconvenient,day,go
fancy  town,5 star treatment,expect
locals,such hotel it,are
so  it,thermal  baths,was
train it,back Machu Picchu,Love
young  staff,back train foot,lugging
Myself,door  place,rented
us,good breakfast buffet,allowed
very  staff,slight language barrier,was
day  you,you,Thank
reception who,reception desk,greeted by
as  who,amenities,was
even breakfast we,5  am,allowed
rooms,even fee fruits,were clean
We,3  nights,stayed
here  we,most  time,spent
least  ours,sized  rooms,was
It,main  plaza,is
it,too  night,had
when  we,days/1 Machu Picchu,stored
they,little coca tea,Upon
breakfast room,items,was
other  you,it,learned
actually  we,just  cup,was
when  one,Machu Picchu,was
They,other  him,called
when  I,Cusco,stay
We,four tour group,are
portable power that,much  heat,were
time  I,eggs,had enough
It,central  square,was
just  we,four  nights,was fine
it,genuine  people,is synonymous
low  Cusco,days,offered
staff,perfect dining introduction,did
middle  nature,calls,appreciated
old town which,so work ethic,is
old time way we,highly  Caribbean,brought to
excellent  I,very massage service,was
I,you,recomend
beautiful  family,staying,enjoyed
Hot Water,nice  chance,Take
blissfully  hotel,de walking Armas,located in
Rooms,hot kitchen plate,feature plush
which,beautiful  city,was
Breakfast ingredients,morning  eggs,provided in
We,own  omelets,enjoyed
Carmen,great  sightseeing,provided
Spanish,so Google Translate,is
directly web prices,such  Booking,Book
I,absolutely  place,floored by
certainly  all,little  details,put
almost  you,family,feels
beautiful  hotel,amazing  views,is
I,years,is
Tim,consistent  hour,was
Overall  I,much  character,feel like
themed  rooms,both  appearance,have
truly  this,best  Cusco,think
in  I,just  place,’s
absolutely  she,absolutely  way,was
"3,400  it","3,400  asl",be
then  you,Andean,are
We,first  Cusco,stayed
it,hotel,arranged for
view,Cusco,was amazing
They,room,provided
so  having,already  room,had
Great  hotel,Cusco,find in
recent  Tim,recent  hike,had
few  me,home,lugged
wifi,perfect  coffee,seemed
Nothing,clean  rooms,hesitate
I,world,stayed for
very  I,stay,was
last  they,away  Cusco,messaged
we,comfortable  stay,were
accommodating  we,accommodating  everything,was
Wife,27  Daughter,stayed
very  they,excellent  service,was
location,short Machu Picchu,are excellent
new  club,2:00am,opened down
Also  heat,early  excursions,working mid
I,Peru,was typical
I,one  night,went to
me,big  suitcase,let
I,train bus station,walked from
Taxi ride,12  minutes,took
cocoa I,few  hours,had
I,tough  night,had tough
wife,hotel,booked
rooms,heater,are comfortable
it,day,check
day  bath,hot  water,booked
Which,main  hotel,was
away  who,away  medication,was poor
stay,discount,asked for
mistakes,staffs wages,care
Which,tears,left
they,place,is exceptional
when  it,only  Spanish,was
you,guest Kenamari Hotel,is possible
us,services,help
us,home,made
We,here  needs,left
They,quickly  issue,solved
minutes  you,main  Avenue,is
us,services,help
We,really  Kenamari,stayed for
We,right  home,greeted
it,other San Cusco,is ideal
you,entry,has
you,place,beat
us,services,help
We,you,hope
hot  breakfast,fresh  eggs,were
location,over Avenue De Sol,is
us,services,help
We,you,hope
Showers,hot  water,have hot
"hotel!,Dear  guest",Kenamari Hotel,thank
us,services,help
We,you,hope
hiking it,hiking huaynapicchu,was
way  you,them,is
right coca you,course,tea
they,it,got
They,Kenamari Hotel,thank
us,services,help
We,you,hope
We,3  nights,stayed
we,Peru,travelled about
very  room,lovely  view,were
its,it,book
We,first  Cusco,stayed at
everything,walking  distance,is perfect
I,good  rest,had
we,what,created by
usually  place,it,write
It,home,was cozy
Stayed,whole  experience,become inseparable
yet  hotel,rustic  feel,are cosy
lovely breakfast which,most  sunshine,Delicious
it,electric  hand,get
I,place,recommend
Also  hotel,town,is in
wonderful  hotel,mins Central Square,walk from
room,us,was huge
Beautiful,traditional  features,restored with
staff,enough,do enough
whole,way,Made
rooms,Casa Cristobal,were adorable
staff,day,was attentive
They,laundry  service,helped
Breakfast,always  coffee,was delicious
back  we,clean  us,went on
It,phenomenal  restaurants,is in
We,back heart beat,come
Inca trail it,Casa 4d3n,stayed at
such  staff,such  everything,is beautiful
again  we,Cusco,come
hotel,great  location,has
they,even  apology,was
I,hotel,recommend
room key,hikes,have
breakfast,rural gas America,was like
I,just  hotel,walked
nice  it,cheap  hostel,advertise
I,this,have
you,decent  hotel,deserve
hotel,walk distance walk park,located
they,multiple  options,are comfortable
Estimado Huésped,cordial su nuestro,sobre
se amobladas acorde al,de la región,habitaciones
Saludos,Agustin El Dorado,cordiales
emergency replacements,hotel,stayed at
they,situation,are
too  hotel,very Cusco markets,is
easy city that,stay,allows easy
We,again  us,reiterate
We,one  kids,booked
bed,2,are
service,2  hours,took more
Front desk,English,are
We,28  2019,stayed
breakfast,city center,is good
better  I,good  hotel,choose
servicios en los,exige  nuestra,estándares
se amobladas acorde al,4 un hotel estrellas,habitaciones
Booked it,nice  reviews,this
First  rooms,First  website,look like
It,motel,looks like
you,it,cover
We,3  manager,stayed
he,site,called
It,all towel situation,was
day  we,2  towels,had
we,second  towels,get
It,there  towels,take
day  I,damp  towels,was
more house that,house 2,went to
2  hotel,towels,called
they,exactly hotel room guests,’s
more  we,some,had
we,day  hotel,have
staff,limited  enough,was friendly
likely  it,light  sleeper,are
hotel,complimentary ear guests,handle
it,price,made
great  it,great  quality,Thank
we,next  trip,be happy
bit  rooms,busy  road,were noisy
walking  you,walking  everything,location
time  yo,something,was
really  hotel,bar service,regret
more  we,quality service,strive
triple  which,well  us,had
which,room,provided in
electric  heaters,central  heating,has
sincerely  you,San Agustin Peru,appreciate
more  it,personally  you,be
I,night Dorado San TripAdvisor,boyfriend
front  desk,able  reservation,was on able
quickly  us,team,offered
none,English,was
unfortunately  I,it,had
Aside  everything,Aside  that,seemed
complete  experience,up  expectations,is
that,very  us,take
We,Warm Regards,hope
extremely  they,early airport shuttle,were
