source,target,edge
different  they,fluent  English,were
also wakeup we,anything,provided
I,same  hotel,stay in
Excellent customer I,voluntary  Cusco,service
well  staff,tirelessly  guests,is
I,2 altitude days,looked after
hotel,10 city centre,is in
I,Incas,styled
capes,beds,looks
we,one  night,was clean
new hotel we,Best  regards,have
We,before Inca Trail,stayed at
hotel,old  Cusco,is in
main  it,main  square,’s
you,before  trek,are large
it,WiFi,have
city churches,too  shopping,go
It,main  Cusco,is
completely  you,8AM,little
worst,karaoke street,is
especially  you,street,is
however  bathrooms,attention,are large
Decor,rooms,is unique
Location,square  attractions,is ideal
next  door,Peruvian  it,try
high  that,high  altitude-,is
friendly  rooms,decent water Peru,breakfast decent
older  ladies,stable ground signal,have
only  you,comparable price point,recommend
staff,worst  hotel,want
opposite Karaoke that,6  am,did
hotel,Intrepid trip,booked as
exceptional  who,great  location,is
far city hostel,great  views,seems
even  they,much  English,was
breakfast,hostel,was good
best  I,best  hostels,One of
They,communal  balcony,have many
They,welcoming  committee,have
we,right  way,tell
wonderful  We,a  time,stayed for
super  us,away bus Cusco,is
very  it,new  people,is
then  view,terrace,is
I,solo  female,stayed for
free  tea,high  pressure,is
which,tours,helped
we,nights Samay Wasi,stayed
We,mostly  Cusco,enjoyed
We,absolutely  it,recommend
We,fantastic Samay Wasi,had
particular  James,always coco information,was
long  this,you,is
hostel,beautiful  rooms,has beautiful
very  you,well  night,is amazing
very  you,very  everything,is
I,immediately  home,loved
I,back  Cusco,go to
great  I,great  time,grateful for
you,good Samay Wasi,are happy
We,us,be happy
This,entire  city,is
taxi it,taxi stairs,were
I,uphill  bags,was
central  which,central  night,hear
This,great  view,is
Staff,safely  checkout,was attentive
we,suggestion,taken
We,Samay Wasi,loved
I,always  face,fault
even Lake everything,care,booked
here  you,Cusco,recommend
which,even  bedrooms,was
good  they,just  them,know good
good  he,good  itinerary,helped
very  view,room,was
wonderful Inca trail which,best  lives,helped
hostel James you,pleasant Samay Wasi,recommend
We,comment,appreciate
inner  you,view,hotel with
Safe,solid  shampoo,die for
I,also  tequeños,went
I,what,ordered
they,these,were
de Hotel Aramas,request,fill
de  hotel,active  Cusco,puts
when  we,morning,provided
we,possible Plaza activities,was off
second  that,always hotel community,is
4  we,Inca Trail,were
price,most  rooms,is
great  they,highly  location,provide
Raymi celebrations,restaurant processions,arrived during
staff,multiple ruin locations,were
surprisingly  we,road night,were clean
i,what,was
included  breakfast,balcony,was amazing
highlight,fresh  fruit,were
We,late evening meal,had
They,small  crust,were
we,chocolate cake,was
Plaza de Plaza you,Plaza de Plaza Armas,breakfast
stay,more  everything,Thanks for
We,three  days,stayed
It,main  square,is in
interior  you,interior  that,think
very  location,work,use
shower,hot  water,had good
good  we,there  breakfast,was
shoe polish,all  it,had
it,reception,happened
We,eventually  room,had
early airport driver,more  luggage,arrived
there  it,stay,enjoyed
de  which,first  floor,is
nice  that,plaza,sit on
sound  insulation,horns,use
you,most  time,Feels
which,day,recommend
loved,comfortable court chairs,was
charming  I,charming  hotel,One of
who,Christopher,Greeted by
First  he,natural cocoa tea,invited
luggages,us,done
when Inca trail we,new Inca trail room,Helped
hotel,Cusco,is suitable
live  who,live  music,faces
here  you,early  tours,stay
available  that,busy  street,were
so  we,hotels,was
We,really  visit,enjoyed
rooms,hot  showers,were comfortable
location,mostly walking distance,is great
extremely  we,extremely  laundry,accommodating
here  I,highly  hotel,had
they,hot  water,arrived
I,totally  place,recommend
early Machu we,3  am,arrived at
we,10,waited
front  they,us,called to
we,hot  water,were out
ourselves  one,us,called
what,it,had
good  we,good  time,were
last hair we,it,has
finally  we,awful  experience,were out
even  they,me,had
Alejandro,de al haber programados,caliente
nos disculpas del gustaría,otra oportunidad,poder
se de nuestro servicio,nos de los visitan,nuestros
Saludos,Sixto C,cordiales
time  you,cusco,suggest
They,family,treat
where  you,restaurants,Located in
literally location 4,impossible location street,Pros
where  attraction,walking  distance,is
regardless  wish,menu,was
La Casona Real,inner  place,has
where  you,hotel,suggest
It,sometimes drug noise,is busy
Also  one,right  wall,has
we,nightclub room,offered
it,right  earplugs,warned
later  they,good  us,kept
us,best,did
I,hotel,set
I,30  shuttle,arrive
I,24 hour flight,got
she,shuttle,responded
She,me,ignored
night  it,door,had
here  I,sleep,hoping for
people,am,need
exactly  I,exactly  what,amazing/
it,heat,staff/
sometimes bit pricy,Inns/ hotels,were
night/,nice  staff,sent
2  I,2  weeks,rebook
I,year  future,travel
they,shuttle,expected
large  group,long  stay,treated
Location,great  shops,is
time  we,here  quarantine,stuck
day  rest,staff,made incredible
enjoyable  10/10,enjoyable  vacation,recommend
It,main  restaurants,located
hotel,maintenance,worn
full  you,environment,located on
Dear Ramon Dear we,day hotel service,Thank
really  I,tourist Royal Qosqo people,were
main stupend square,two  hotel,is close
they,dryer hair,is excellent
Only  that,hotel,is
It,nice  family,'s
you,happy  trip,wish
hotel,main  square,is nice
nearby  streets,many  room,have many
very  us,satisfaction,is
high  you,basic  room,charge
in  wifi,even reception area,was
anyone,bad  experience,speak
Prouchdi,much  opinion,Thank
that,very  us,take into
restaurant,city center,is great
hotel,main Cusco squares,is
hotel walls,cancelling  capacity,wished
rooms,good  shower,were cosy
quite  breakfast,minimal  fruit,were
I,staff,commend
excusas al igual,su acompañante,que
y el mejoramiento,nada de suceder,día
exceptional Taypikala Hotel hospitality,truly October 16th,stood
visits,us,made
incredibly  us,fantastic  area,was
Taking,favorite  pastimes,became
exactly  we,Cusco,was
It,overall  experience,contributed to
I,super Taypikala staff,hesitate
when  I,largely air sickness,went
genuine  concern,health,was
they,even omelet station,was delicious
balcony  which,balcony  view,had
Hotel Taypikala Cusco,walking  shops,was
I,highly  Cusco,recommend
I,Cusco area,am glad
10 Main minutes,taxi,located
4 Machu hotel,4  days,planned
I,open  night,had
bilingual language staff,front  requests,have
hot  staff,hot  fruits,are
amazing tour guide us,nicest valley day world,hotel
Best Pisco I,17 day trip,sour
few  minutes,other  interest,walk to
small  which,big hotel service,hotel
Remarkable  who,vocabulary,staff
we,friendliest  manner,did
I,service,enjoyed
staff,me,went out
they,some,went to
They,also  ginger,gave
I,highly  hotel,recommend
We,weeklong Hotel Cusco,stayed at
4 hiking They,available  desk,have
which,English,speaks
main  which,main  plaza,is within
dinner,Highly  Cusco,recommend
I,Peru,was with
hotel,Cusco,was perfect
We,great  stay,had
This,main  Cusco,was
super  we,early  location,was
when  you,full  hiking,were comfortable
We,everyone,recommend
great  everything,reasonable walking distance,was in reasonable
Evelyn,companion birthday special,made
early Inca Trail we,same day us,held
it,corridor,is
second,couple,was for
we,worst  facility,have
they,decent  room,got
room,arm pits,smelled like
hair,new non room,work
multiple hair that,multiple hair room,maintenance
We,3  2022,stayed
rooms,very  space,are
walking  temperatures,good  dark,have hot
here  they,nice  style,have
wear luggage,airlines,located
they,Maytaq,arranged
where block everything,main block square,was
staff,Maytaq,were
Eduardo,most boarding flights,was
second  we,second  what,knew by
Beds,alpaca blankets,were comfortable
that,all  street,noticed
We,city,felt unsafe
all  i,again  doubt,stay at
main  hotel,solo  traveler,block off
Breakfast,large  selection,done with
They,boxed  breakfast,accommodate early
wonderful boutique that,you,hotel
night  I,night  room,stayed
They,even massage room,offer laundry
here  I,ever  Cusco,stay
Highly  you,decent price range,recommend
someone,shower,was
Hotel,elevators,have
We,here Machu Piccu,spent
it,bags,needed
small  window,much  noise,allows
small  that,spectacular  Cusco,'s
we,chance,found
location,main  plaza,is
Easy,worth  Cusco,walk to many
Hotel staff,early Machu Picchu,accommodating
I,definitely  hotel,recommend
layout,central  balconies,is
better  I,South America,One of
almost  that,site,was
Breakfast,great  selection,had
so  Breakfast,so  city,was delicious
so laundry we,post Inca Trail,located
hotel,great  front,is
The,original  display,have original
We,organised tour group,stayed for
We,2nd  mountains,had
single  it,inside hotel reception area,was quieter
very  we,either  it,turn
hotel,several  bars,felt safe
hotel,safe  place,did
staff,normal temperature needs,was attentive
hotel,main walking square,located within easy
I,nice  restaurants,was able
always  we,night,felt safe
I,different  trip,stayed in
Both,US standards,were small
inside  one,hotel,looked out
small  that,street,had
We,8 Hotel days,stayed at
main  plaza,same  hotel,is
We,highly  Cusco,recommend
hotel,de minute armas,located within
hotel lobby,colonial  architecture,has
which,nice  city,was at
right  that,snacks,are
hotel,free  airport,provided
it,you,been
We,you,hope
We,wonderful New experience,stayed at
it,de  Armas,were clean
early  people,early morning Ollantaytambo,is
I,it,ended
they,it,contacted
they,back  me,mailed
how  they,you,believe
even  I,me,treated
I,highly Hotel Ruinas,recommend
much Dear It,you,was great
We,you,hope
room,cold,was beyond cold
it,stone,made of
I,sleeping bag warmth,used
shared  bath,outdoors,opened to
when  room,sewage,said
it,small  sanity,decided
outside  you,toilette,be
immediately  we,arrival,got
garden,little  brake,was
hostel,quiet  location,is
bus,2min Paza de,pick
Breakfast,other  nations,is simple
peruvian strawberry you,it,was
We,communal patio garden,had
you,Modest  all,space with
night,$  drawbacks,costed
main  Wifi,personal storage stay,is spotty
Highlight,outdoor seating Cusco,be
it,many  restaurants,be
They,credit debit cards,accept
tea  staff,really  stay,was great
We,fruits,enjoyed
location,main  square,was close
little  we,extra  blankets,was
We,stay,enjoyed
5  mins,Cusco center,walk to
They,also  tour,offer
blankets,night,were enough
location,main min square,is uphill
private room it,7  am,is
they,only  bread,pick
Also  they,coffee guests,refuse
definitely  ot,good  money,recommend
they,us,helped
I,really  place,recommend
They,tour,offer
very  it,very  needs,was
steep  it,steep  hill,was
pillows,stiff  neck,was impossible
Hot  water,shower,running on
Room,floors,carpeted
so  you,nights sleep,go
location,city,is right
We,superior  apartment,stayed in
front  desk,24/7  WhatsApp,was available
apartment,kitchen amenities,was cozy
It,longer  stay,'s
fireworks,me,kept
you,main  square,try
hotel,central  restaurants,located
we,room,was nice
rooms,unique  character,are nice
apartment style room,perfectly living family,works
when  we,macchu picchu,gave
room,nice  shower,is
5  minutes,main  square,walk for
Cavassa  house,when lodging Cuzco,is
It,close Plaza Regocijo,'s in
It,around  dinner,'s
so  She,3rd floor room,took
I,Cuzco,stay
much  you,much  more,is affordable
I,place,loved
very  location,amazing coca rooms,was
We,much panini us,had
other  we,other  place,are nice
busy  it,airport  station,is easy
We,Coca upstairs,welcomed with
10  you,office,is
time  you,door  problems,are on
location,also  restaurants,is great
hotel,old  houses,is incredible
Strait  I,"4,5",want
much  we,Inka trail hike,perfect
perfectly  you,m Alpaca offices,located
nights Casa we,nights Casa fun,stayed
second  both,second  one,got
Sized  fridge,small  meal,got
main  which,main  road,looked
noise everything,other,had
it,actually  me,grow accustomed
where  we,busy Coca street,was
steaks,honestly kitchen streaks,seemed
incorrectly shower we,incorrectly shower that,was
consecutive  we,consecutive  showers,have
versa  they,them,was
overall  decoration,some luxury well,was decent
whole  setup,local  tourists,believe
rudimentary  which,others,is
pigeon need,translation app,feeling guilty
Others,little,seem
before  we,decent  kitchen,payed
we,what,were able
who,similar,Recommend for
staff,particular  Wilson,was great
warmly  I,everything,welcomed
Location,historical  center,is close
room,kitchen,was clean
long  I,extra  fee,let
which,bathroom,Lots of
bed,place,worked as
VERY  which,night,are
Also  it,bad  night,expect
included  breakfast,small  cost,was small
bit toilet door,first  night,broken on
Burgers,too  places,is
When  we,social  day,got busy
highly  we,nice  them,spoke
Everyone,around housekeeping us,welcoming
hostel,many  place,is
really  we,Hostel,We
they,cold  nights,stayed in
rooms,awesome  view,have
location,main  attractions,is
which,breakfast,make
One,best  parts,was
they,fair  prices,is amazing
I‘d,always  hostel,chose
Intro,Cusco,reopened
first  they,first  guest,were
amazing  They,amazing  restaurant,serve amazing
Hostel,easy Ciudad Cusco,was in easy
I,thick  walls,Loved
It,Cusco,was
sister,private Intro bathroom,booked
outdoor  space,nice  Cathedrals,thought
bathroom,far  room,was
front desk who,private tour taxis,appreciated
Luis,very booking Cusco,is
nice  which,too  people,has
We,few  trek,booked
few  minutes,main  squares,was in
much time it,much time bed,was comfortable
